Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0, SCALE
14107944,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.172454,0.185348,0.000000,0,0.00,674.82,90.00,991.81
14108046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199048,0.182125,0.000000,0,0.00,665.64,90.00,991.81
14108158,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.178901,0.196630,0.000000,0,0.00,655.56,90.00,991.81
14108250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.164396,0.201465,0.000000,0,0.00,647.28,90.00,991.81
14108352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.188571,0.175678,0.180513,0.000000,0,0.00,638.10,90.00,991.81
14108444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.180513,0.199853,0.000000,0,0.00,629.82,90.00,991.81
14108556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.199853,0.178901,0.000000,0,0.00,619.74,90.00,991.81
14108648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190989,0.180513,0.202271,0.000000,0,0.00,611.46,90.00,991.81
14108750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.157949,0.198242,0.000000,0,0.00,602.28,90.00,991.81
14108842,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.180513,0.199048,0.000000,0,0.00,594.00,90.00,991.81
14108954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.178901,0.197436,0.000000,0,0.00,583.92,90.00,991.81
14109046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190183,0.199853,0.181319,0.000000,0,0.00,575.64,90.00,991.81
14109148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.188571,0.172454,0.199048,0.000000,0,0.00,566.46,90.00,991.81
14109240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.190183,0.210330,0.198242,0.000000,0,0.00,558.18,90.00,991.81
14109352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.176484,0.185348,0.000000,0,0.00,548.10,90.00,991.81
14109454,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.185348,0.182125,0.196630,0.000000,0,0.00,538.92,90.00,991.81
14109546,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.197436,0.175678,0.000000,0,0.00,530.64,90.00,991.81
14109638,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.177289,0.186154,0.000000,0,0.00,522.36,90.00,991.81
14109750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.200659,0.190989,0.000000,0,0.00,512.28,90.00,991.81
14109852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.188571,0.178095,0.184542,0.000000,0,0.00,503.10,90.00,991.81
14109944,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.172454,0.198242,0.000000,0,0.00,494.82,90.00,991.81
14110046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.200659,0.180513,0.000000,0,0.00,485.64,90.00,991.81
14110148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.175678,0.195824,0.000000,0,0.00,476.46,90.00,991.81
14110250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.191795,0.162784,0.200659,0.000000,0,0.00,467.28,90.00,991.81
14110342,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.171648,0.184542,0.000000,0,0.00,459.00,90.00,991.81
14110444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190989,0.177289,0.186960,0.000000,0,0.00,449.82,90.00,991.81
14110556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.187766,0.196630,0.178901,0.000000,0,0.00,439.74,90.00,991.81
14110648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182930,0.190183,0.180513,0.203077,0.000000,0,0.00,431.46,90.00,991.81
14110750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.154725,0.199853,0.000000,0,0.00,422.28,90.00,991.81
14110842,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.175678,0.186960,0.000000,0,0.00,414.00,90.00,991.81
14110954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.186960,0.176484,0.185348,0.000000,0,0.00,403.92,90.00,991.81
14111046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.191795,0.199048,0.182125,0.000000,0,0.00,395.64,90.00,991.81
14111148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.171648,0.182930,0.000000,0,0.00,386.46,90.00,991.81
14111240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.190989,0.164396,0.198242,0.000000,0,0.00,378.18,90.00,991.81
14111352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.186960,0.175678,0.196630,0.000000,0,0.00,368.10,90.00,991.81
14111444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.191795,0.175678,0.187766,0.000000,0,0.00,359.82,90.00,991.81
14111546,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.193407,0.178901,0.000000,0,0.00,350.64,90.00,991.81
14111638,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.182930,0.197436,0.000000,0,0.00,342.36,90.00,991.81
14111750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.199853,0.194212,0.000000,0,0.00,332.28,90.00,991.81
14111852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.184542,0.177289,0.178095,0.000000,0,0.00,323.10,90.00,991.81
14111944,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190183,0.174066,0.195018,0.000000,0,0.00,314.82,90.00,991.81
14112036,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.200659,0.178095,0.000000,0,0.00,306.54,90.00,991.81
14112148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.176484,0.197436,0.000000,0,0.00,296.46,90.00,991.81
14112250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.206300,0.199853,0.000000,0,0.00,287.28,90.00,991.81
14112342,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.173260,0.185348,0.000000,0,0.00,279.00,90.00,991.81
14112444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.193407,0.180513,0.200659,0.000000,0,0.00,269.82,90.00,991.81
14112556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.187766,0.199048,0.178095,0.000000,0,0.00,259.74,90.00,991.81
14112648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190989,0.178901,0.201465,0.000000,0,0.00,251.46,90.00,991.81
14112740,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.189377,0.161172,0.200659,0.000000,0,0.00,243.18,90.00,991.81
14112842,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.178901,0.200659,0.000000,0,0.00,234.00,90.00,991.81
14112954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.186960,0.176484,0.193407,0.000000,0,0.00,223.92,90.00,991.81
14113046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.200659,0.181319,0.000000,0,0.00,215.64,90.00,991.81
14113138,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.188571,0.176484,0.199048,0.000000,0,0.00,207.36,90.00,991.81
